folder,doi,publisher,crossref_license,unpaywall_license,oa_status,classification,reason
10.1186_s13063-016-1489-8,10.1186/s13063-016-1489-8,BMC,proprietary,CC-BY,gold,RED,source disagreement: CC license found (CC-BY) but weaker source non-open (crossref=proprietary); conservative RED
10.1186_s13065-023-01073-3,10.1186/s13065-023-01073-3,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12906-024-04467-5,10.1186/s12906-024-04467-5,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1753-6561-7-S7-S6,10.1186/1753-6561-7-S7-S6,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1476-4598-11-33,10.1186/1476-4598-11-33,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s40543-019-0166-4,10.1186/s40543-019-0166-4,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s40537-022-00647-7,10.1186/s40537-022-00647-7,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s40580-022-00346-2,10.1186/s40580-022-00346-2,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s40494-016-0082-5,10.1186/s40494-016-0082-5,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13568-020-01042-2,10.1186/s13568-020-01042-2,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13638-019-1610-2,10.1186/s13638-019-1610-2,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12859-020-3375-3,10.1186/s12859-020-3375-3,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12954-024-01011-z,10.1186/s12954-024-01011-z,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12903-023-03741-1,10.1186/s12903-023-03741-1,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s43088-019-0006-z,10.1186/s43088-019-0006-z,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s40494-019-0336-0,10.1186/s40494-019-0336-0,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12974-020-01801-9,10.1186/s12974-020-01801-9,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12866-015-0365-0,10.1186/s12866-015-0365-0,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12860-023-00479-0,10.1186/s12860-023-00479-0,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12951-021-01217-4,10.1186/s12951-021-01217-4,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1750-1326-3-5,10.1186/1750-1326-3-5,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1477-3155-8-9,10.1186/1477-3155-8-9,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s40543-018-0138-0,10.1186/s40543-018-0138-0,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s42162-024-00393-5,10.1186/s42162-024-00393-5,BMC,CC-BY-NC-ND,CC-BY-NC-ND,gold,RED,no-derivatives license (CC-BY-NC-ND); cleaning/chunking is a derivative
10.1186_1743-0003-9-2,10.1186/1743-0003-9-2,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13065-024-01332-x,10.1186/s13065-024-01332-x,BMC,CC-BY-NC-ND,CC-BY-NC-ND,gold,RED,no-derivatives license (CC-BY-NC-ND); cleaning/chunking is a derivative
10.1186_s13321-024-00802-7,10.1186/s13321-024-00802-7,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13321-015-0091-5,10.1186/s13321-015-0091-5,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12879-020-4839-9,10.1186/s12879-020-4839-9,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1752-153X-6-86,10.1186/1752-153X-6-86,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s42834-021-00092-w,10.1186/s42834-021-00092-w,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
